Producer,Wine name,Country ,Region, Vintage,Wine Color,Price,ABV%,Vivino rating,Vivino URL,Winesearcher URL,UK seller,Uk seller same vintage lowest,Uk seller same vintage Highest,Uk seller previous vintage lowest,Uk seller previous vintage highest,Unnamed: 16,Wine Searcher URL
,Baron D�Arignac Colombard Ugni,France,IGP GERS,2023,BLANC,,,,https://www.vivino.com/GB/en/baron-d-arignac-colombard-carte-d-or/w/3194821?year=2023,,,,,,,,http://www.wine-searcher.com/find/baron+d'arignac+colombard+carte+d'or/2023
,Baron D'Arignac Cabernet Sauvignon,France,PAYS D OC IGP,2023,ROUGE,,,3.8,https://www.vivino.com/GB/en/baron-d-arignac-cabernet-sauvignon/w/2177804?year=2023,,,,,,,,http://www.wine-searcher.com/find/baron+d'arignac+cabernet+sauvignon/2023
,Baron D'Arignac Medium Sweet,France,VIN DE L UNION EUROPEENNE,-,BLANC,,,,,,,,,,,,
,Baron D'Arignac Syrah Rose,France,PAYS D OC IGP,2023,ROSE,,,,https://www.vivino.com/GB/en/baron-d-arignac-syrah-rose-carte-d-or-vin-de-pays-vignobles-de-france/w/5593337?year=2023,,,,,,,,
,"Belles Eaux ""Mistral"" Sauvignon Blanc *NEW*",France,PAYS D OC IGP,2023,BLANC,,,,,,,,,,,,
,"Belles Eaux ""Mistral"" Chadonnay *NEW*",France,PAYS D OC IGP,2023,BLANC,,,,,,,,,,,,
,"Belles Eaux ""Mistral"" Merlot *NEW*",France,PAYS D OC IGP,2023,ROUGE,,,,,,,,,,,,
,"Belles Eaux ""Mistral"" Syrah *NEW*",France,PAYS D OC IGP,2022,ROUGE,,,,,,,,,,,,
,Bistro Chic Merlot/Cabernet/Syrah,France,VIN DE FRANCE,2023,ROUGE,,,3.7,https://www.vivino.com/GB/en/bistrot-chic-rouge/w/6577644?year=2023,,,,,,,,
,Bistro Chic Sauvignon Blanc/S�millon,France,ENTRE DEUX MERS,2023,BLANC,,,,https://www.vivino.com/GB/en/bistrot-chic-entre-deux-mers-blanc/w/6273672?year=2023,,,,,,,,http://www.wine-searcher.com/find/bistrot+chic+entre-deux-mers+blanc/2023
,Bistro Chic Syrah/Marselan,France,PAYS D OC IGP,2023,ROUGE,,,,https://www.vivino.com/GB/en/bistrot-chic-syrah-marselan-vin-de-pays-doc/w/8226640?year=2023,,,,,,,,
,Entre Nous Merlot/Syrah,France,IGP COTEAUX DU PONT DU GARD,2023,ROUGE,,,,https://www.vivino.com/GB/en/francois-martenot-entre-nous-fruite-et-genereux-coteaux-du-pont-du-gard/w/10590111?year=2023,,,,,,,,
,Entre Nous Chardonnay,France,PAYS D OC IGP,2023,BLANC,,,,,,,,,,,,
